epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,51130,1.11,0.84808,1.28482,0.88156,0.64428,0.76817,0.53847,1.42175,1.12294,1.47414,0.0002971,0.0002971,0.0002971
144,51361.7,1.08057,0.8145,1.26731,0.8913,0.64008,0.76733,0.54435,1.3853,1.10772,1.45873,0.00029215,0.00029215,0.00029215
145,51588.9,1.09653,0.82986,1.29071,0.91634,0.63169,0.76894,0.54503,1.38874,1.12049,1.45213,0.0002872,0.0002872,0.0002872
146,51795.6,1.05543,0.79767,1.25128,0.8914,0.64638,0.77129,0.54494,1.40327,1.09558,1.47014,0.00028225,0.00028225,0.00028225
147,52003.5,1.07379,0.82535,1.27423,0.88914,0.64803,0.77193,0.54248,1.39163,1.10732,1.45769,0.0002773,0.0002773,0.0002773
148,52210,1.10885,0.84524,1.29317,0.91492,0.64318,0.77057,0.54771,1.38383,1.10321,1.45991,0.00027235,0.00027235,0.00027235
149,52415.6,1.06446,0.82156,1.27617,0.88,0.65406,0.76881,0.5459,1.37833,1.10886,1.45337,0.0002674,0.0002674,0.0002674
150,52624.2,1.04921,0.79089,1.25297,0.89845,0.6406,0.76734,0.545,1.38641,1.11302,1.44824,0.00026245,0.00026245,0.00026245
151,52832.4,1.08836,0.81907,1.27128,0.89197,0.64981,0.76593,0.5413,1.36232,1.10939,1.44052,0.0002575,0.0002575,0.0002575
152,53038.6,1.08906,0.82863,1.28108,0.8786,0.66068,0.76867,0.54396,1.38437,1.09571,1.45686,0.00025255,0.00025255,0.00025255
153,53244.5,1.08137,0.82653,1.2811,0.8786,0.64113,0.76712,0.54513,1.38312,1.11085,1.44878,0.0002476,0.0002476,0.0002476
154,53451.1,1.07942,0.82695,1.28458,0.88535,0.65477,0.77114,0.54483,1.39354,1.09614,1.46157,0.00024265,0.00024265,0.00024265
155,53656.7,1.06302,0.8149,1.27178,0.91708,0.62854,0.76701,0.54354,1.36061,1.11599,1.43123,0.0002377,0.0002377,0.0002377
156,53864.1,1.06709,0.81865,1.2735,0.9117,0.63923,0.77166,0.54839,1.3747,1.09712,1.44004,0.00023275,0.00023275,0.00023275
157,54071.6,1.06856,0.80083,1.27068,0.88535,0.66107,0.77607,0.53915,1.39968,1.0995,1.4623,0.0002278,0.0002278,0.0002278
158,54280.5,1.06446,0.7915,1.25631,0.89399,0.64533,0.77244,0.54496,1.38094,1.08648,1.43911,0.00022285,0.00022285,0.00022285
159,54486.6,1.08034,0.83487,1.27666,0.93059,0.64218,0.77077,0.54664,1.38349,1.08873,1.44996,0.0002179,0.0002179,0.0002179
