epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,1954.78,0.77241,0.49185,0.96696,0.9437,0.85129,0.91947,0.71477,0.85608,0.50061,1.01062,0.000700525,0.000700525,0.000700525
123,1970.48,0.77547,0.48879,0.95346,0.94275,0.85687,0.92062,0.72371,0.85391,0.49585,1.00542,0.00069805,0.00069805,0.00069805
124,1986.02,0.80058,0.49326,0.96466,0.95862,0.84639,0.92318,0.71903,0.8522,0.50302,1.01262,0.000695575,0.000695575,0.000695575
125,2001.9,0.76517,0.48409,0.95998,0.95407,0.85329,0.9238,0.72743,0.84003,0.48556,1.00641,0.0006931,0.0006931,0.0006931
126,2017.67,0.79016,0.49015,0.96475,0.95993,0.84114,0.92285,0.72432,0.85133,0.49042,1.00697,0.000690625,0.000690625,0.000690625
127,2033.44,0.76435,0.48461,0.96308,0.94883,0.85392,0.92182,0.71952,0.84768,0.49799,1.01476,0.00068815,0.00068815,0.00068815
128,2049.41,0.79182,0.49149,0.95629,0.95764,0.84765,0.92297,0.71844,0.85315,0.48719,1.00854,0.000685675,0.000685675,0.000685675
129,2065.15,0.77158,0.4895,0.95595,0.95539,0.84595,0.92152,0.72416,0.85482,0.49572,1.01239,0.0006832,0.0006832,0.0006832
130,2083.53,0.79665,0.49037,0.96705,0.94159,0.85913,0.92281,0.72608,0.83278,0.48631,0.99787,0.000680725,0.000680725,0.000680725
131,2098.97,0.77357,0.4842,0.9538,0.95236,0.8558,0.92295,0.72774,0.84325,0.48834,1.0039,0.00067825,0.00067825,0.00067825
132,2114.36,0.77054,0.47989,0.95537,0.9581,0.84765,0.91909,0.7176,0.85527,0.48838,1.00381,0.000675775,0.000675775,0.000675775
133,2136.66,0.77372,0.48087,0.95765,0.95385,0.84451,0.92292,0.72711,0.84168,0.49331,1.00151,0.0006733,0.0006733,0.0006733
134,2152.25,0.76348,0.48016,0.95134,0.95166,0.86402,0.92458,0.73157,0.83321,0.48862,0.9972,0.000670825,0.000670825,0.000670825
